Iteration,Model Accuracy,Final Subnetwork
1,82.5,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
2,78.75,"['EGR2', 'HOXA2', 'HOXB13', 'HOXB2', 'MEIS1', 'MEIS2', 'TEAD1', 'TEAD4']"
3,75.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
4,77.5,"['ABCF1', 'ACIN1', 'ADNP', 'AHNAK', 'AQR', 'BAZ1A', 'BCAS2', 'BTAF1', 'CAPG',
 'CASC3', 'CDC40', 'CDC42BPB', 'CDC5L', 'CHD1L', 'CHERP', 'CPSF1', 'CPSF3',
 'CPSF6', 'CRNKL1', 'CSDE1', 'CSE1L', 'CSTF3', 'CTNNBL1', 'CWC22', 'DBR1', 'DDX20',
 'DDX23', 'DDX42', 'DDX46', 'DDX5', 'DHX15', 'DHX38', 'DHX8', 'DIDO1', 'EFTUD2',
 'ELAVL1', 'EPPK1', 'EPS8L2', 'ETV6', 'FAM129A', 'FERMT1', 'FHOD1', 'FUS',
 'GALNT13', 'GBP5', 'GEMIN4', 'GEMIN5', 'GPATCH1', 'GTF2I', 'HDLBP', 'HLTF',
 'HNRNPA2B1', 'HNRNPL', 'HNRNPM', 'HNRNPU', 'HNRNPUL1', 'HTR3A', 'ILF3', 'IPO5',
 'IPO8', 'IPO9', 'KANK1', 'KHSRP', 'KIF21A', 'KLHDC3', 'KPNA5', 'KRT4', 'LIMS2',
 'MDN1', 'MFAP1', 'NAA25', 'PAK4', 'PAPOLA', 'PARP4', 'PARVA', 'PCBP2', 'PDLIM7',
 'PNN', 'PRCC', 'PRKCD', 'PRPF19', 'PRPF3', 'PRPF39', 'PRPF4', 'PRPF40B', 'PRPF6',
 'PRPF8', 'PTBP1', 'RAD18', 'RBM14', 'RBM25', 'RBM39', 'RBM45', 'RBM5', 'SART1',
 'SCARA3', 'SCYL2', 'SETX', 'SF3B2', 'SF3B3', 'SF3B4', 'SHPRH', 'SLC7A9', 'SMAP1',
 'SMCHD1', 'SMG1', 'SMG5', 'SMG6', 'SNRNP200', 'SNRPN', 'SPEN', 'SRRM1', 'SRRM2',
 'SSH1', 'SYMPK', 'SYNCRIP', 'TBCD', 'TCERG1', 'TESK1', 'TFIP11', 'TNPO1', 'TUBB1',
 'TUBB2B', 'UNC45A', 'UPF1', 'UPF2', 'WBP11', 'WDR33', 'XAB2', 'XRN2', 'ZNF526',
 'ZNF638']"
5,78.75,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TOP1', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75',
 'XRN1', 'ZFP36', 'ZFP36L1']"
6,75.0,"['MGAT3', 'MGAT4B', 'MGAT5', 'MGAT5B']"
7,83.75,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10', 'NAT10',
 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58', 'PATL1', 'PDCD11',
 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12', 'RRP9', 'SKIV2L',
 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1', 'ZFP36', 'ZFP36L1']"
8,77.5,"['ASZ1', 'DDX4', 'MAEL', 'PIWIL1', 'PIWIL2', 'PIWIL4', 'TDRD1', 'TDRD5', 'TDRD6',
 'TDRD7', 'TDRD9']"
9,73.75,"['MGAT3', 'MGAT4B', 'MGAT5', 'MGAT5B']"
10,70.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TAF1A', 'TBL3', 'TOP1', 'TSR1', 'UBTF', 'UTP15', 'UTP20',
 'WDR3', 'WDR75', 'XRN1', 'ZFP36', 'ZFP36L1']"
