Iteration,Model Accuracy,Final Subnetwork
0,75,"['ALOX12', 'ALOX15', 'ALOX5', 'PTGIS', 'PTGS1', 'PTGS2', 'TBXAS1']"
1,80.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3L', 'DNTTIP2', 'ESF1',
 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10', 'MYBBP1A', 'NAT10',
 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58', 'PDCD11', 'PES1',
 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12', 'RRP9', 'TBL3', 'TSR1',
 'UTP15', 'UTP20', 'WDR3', 'WDR75']"
2,78.75,"['EGR2', 'HOXA2', 'HOXB13', 'HOXB2', 'MEIS1', 'MEIS2', 'TEAD1', 'TEAD4']"
3,80.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
4,78.75,"['DICER1', 'MOV10', 'POP1', 'RPP40', 'TARBP2', 'TNRC6A', 'TNRC6B', 'XPO5']"
5,70.0,"['ADAMTS2', 'AMBN', 'BMP1', 'COL12A1', 'COL16A1', 'COL1A1', 'COL1A2', 'COL2A1',
 'COL3A1', 'COL4A1', 'COL4A2', 'COL5A1', 'COL5A2', 'COL5A3', 'COL6A1', 'COL6A2',
 'COL6A3', 'COL9A1', 'COL9A3', 'DMP1', 'ELN', 'ENAM', 'FBN1', 'ITGA2', 'LOXL3',
 'LOXL4', 'SPARCL1']"
6,82.5,"['EGR2', 'HOXA2', 'HOXB13', 'HOXB2', 'MEIS1', 'MEIS2', 'TEAD1', 'TEAD4']"
7,77.5,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
8,87.5,"['B2M', 'CD1B', 'CD1C', 'CD1D', 'FCGRT', 'KIR3DL1', 'KLRC1', 'LILRB1', 'MR1']"
9,75.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3L', 'DNTTIP2', 'ESF1',
 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10', 'MYBBP1A', 'NAT10',
 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58', 'PDCD11', 'PES1',
 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12', 'RRP9', 'TBL3', 'TSR1',
 'UTP15', 'UTP20', 'WDR3', 'WDR75']"
